imdb_id,title,year,runtime_min,budget,revenue,avg_rating,num_votes,rating,dubious
tt0052357,Vertigo,1958,128,2479000,7808900,8.2,459541,1,0
tt0050706,"My Uncle",1958,116,NULL,NULL,7.6,26122,3,0
tt0806679,"Summer '04",2006,97,NULL,630464,6.3,881,NULL,NULL
tt0060196,"The Good, the Bad and the Ugly",1966,178,1200000,38900000,8.8,891759,1,0
tt0055256,"One, Two, Three",1961,104,3000000,4000000,7.8,24746,3,1
tt0123755,Cube,1997,90,257899,8969065,7.1,261487,3,0
tt0058331,"Mary Poppins",1964,139,4650000,103100000,7.8,198773,3,0
tt0475317,"Tough Enough",2006,98,NULL,NULL,7,3632,NULL,NULL
tt0319262,"The Day After Tomorrow",2004,124,125000000,552639571,6.5,512295,3,NULL
tt0390221,"Maria Full of Grace",2004,101,3000000,12450821,7.4,37610,3,0
tt0285492,"Cube²: Hypercube",2002,94,NULL,3563603,5.5,73077,3,0
